Ford_Fiesta_000000_000011_,550,946,430,117
VW_Polo 9N3_00000005_000002_,1343,2360,427,110
VW_Golf VI_20170114_143235_,896,1436,924,240
porsche_911_20161229_190011_,363,1166,487,174
BMW_3 F30_00000005_000002_,720,810,396,106
Mini_One R55_000000_000011_,1186,2616,517,134
VW_New Beetle_000000_000001_,1226,2376,700,180
VW_UP_000000_000011_,1153,2640,737,193
VW_Polo 9N3_20161213_093845_,960,1476,1360,294
Dacia_Sandero FL_20170122_155912_,1166,2766,504,134
Hyundai_i10_20170106_140256_,793,2473,757,200
VW_Kaefer_000000_000012_,236,274,131,34
Smart_Fortwo_000000_000012_,1096,2783,730,170
VW_Polo 6R_00000005_000001_,466,680,297,80
Opel_Corsa E_20170219_165917_,1120,2476,733,184
BMW_3 F30_00000005_000001_,730,890,316,76
Suzuki_Swift FZ_20170106_150734_,730,2110,883,226
BMW_1 F20 FL_20170114_142651_,830,1433,766,197
Opel_Corsa D_20170108_165737_,993,2010,1073,243
VW_Polo 9N3_00000005_000001_,1270,2243,543,157
porsche_911_20161229_190012_,493,683,340,87
VW_Kaefer_000000_000011_,326,493,263,74
Audi_A3 8V_20170108_165919_,1123,1856,937,200
Smart_Fortwo_000000_000001_,1146,2200,670,156
Suzuki_Swift_00001000_000001_,1086,2886,670,190
Kia_Sportage_20161203_164251_,646,1616,587,170
Opel_Corsa E_20170219_165916_,1353,3156,457,127
VW_Polo 9N3_20170124_210152_,1253,1813,990,227
Smart_Fortwo 451_000000_000004_,228,395,201,56
Smart_Fortwo 453_000000_000011_,1063,1773,730,190
Opel_Adam_20170124_210352_.JPG,1106,1950,964,216
VW_Jetta_20170129_134334_,1220,1683,1016,233
VW_UP_000000_000001_,623,1523,693,190
vw_golf IV_20161212_122636_,543,1740,627,156
opel_corsa D_20161229_130835_,430,630,343,85
porsche_911_20161229_190001_,866,710,307,86
VW_Kaefer_000000_000002_,576,743,364,87
porsche_911_20161229_190013_,443,933,490,137
VW_Kaefer_000000_000014_,167,288,125,28
Honda_Civic_20170122_165916_,1260,1796,1010,237
VW_Polo 9N3_20170122_165916_,986,1776,1164,284
suzuki_swift_20160101_000000_,663,950,300,80
VW_Golf IV_20170117_165335_,1460,1600,863,186
opel_corsa D_20161215_084343_,580,2300,646,190
VW_Golf VII_000001_000011_,1306,1966,810,204
suzuki_swift MZ_20160101_000000_,660,950,303,83
Mini_One R55_20170124_210153_.JPG,560,753,450,127
Opel_Corsa D_000000_000007_,1003,2376,900,224
Ford_Fiesta FL_000000_000013_,1430,2686,406,107
vw_golf IV_20161212_122721_,530,1773,653,180
Mazda_MX-5 ND_000000_000031_,696,873,527,130
Skoda_Octavia_000000_000013_,466,986,427,114
VW_UP_000000_000012_,526,756,327,94
Skoda_Octavia_000000_000001_,1160,2626,620,184
BMW_Z3_00000005_000001_,446,710,254,76
Ford_Fiesta_20170122_155912_,1096,1650,1017,236
porsche_911_20161229_190014_,473,940,477,133
VW_Kaefer_000000_000013_,392,458,238,65
Ford_Fiesta FL_20170205_145735_,966,1500,1167,290
porsche_911_20161229_190002_,320,343,216,67
VW_Kaefer_000000_000001_,693,1443,607,143
suzuki_swift MZ_20160101_000001_,1080,2163,886,240
BMW_5 E60_20170106_150214_,793,2216,833,227
Smart_Fortwo_000000_000011_,1060,1766,733,204
Dacia_Lodgy_20170122_155912_,1213,2543,597,157
Mercedes_SLK_000000_000001_,1070,2390,766,210
Opel_Insignia FL_000000_000012_,1280,2930,543,140
Suzuki_Swift_20170106_150734_,736,2113,877,227
Mazda_MX-5 ND_000000_000032_,763,670,437,104
Mazda_MX-5 ND_000000_000020_,205,293,142,37
Ford_Focus_000002_000001_,1216,2390,590,150
Skoda_Octavia_000000_000012_,1386,2350,420,113
suzuki_swift_20160101_000002_,1236,2350,617,170
VW_Kaefer_000000_000004_,293,308,178,42
BMW_1 F20 FL_000000_000012_,1170,2550,696,183
Opel_Corsa D FL_000000_000011_,1320,2146,590,154
VW_Kaefer_000000_000016_,378,542,299,70
opel_corsa D_20161229_130833_,506,573,270,73
Opel_Vectra B_20170108_164709_,1116,1773,964,297
mercedes_a_20161215_083509_,620,1833,590,137
BMW_1 E87_20170106_152519_,740,2123,726,190
opel_corsa D_20161229_130832_,583,570,283,70
Opel_Adam_20170219_165916_,1433,3026,383,100
Opel_Astra H_20170106_151546_,803,1903,790,213
Peugeot_206_20170114_142705_,920,1953,923,203
Mazda_MX-5 ND_000000_000033_,790,800,453,103
Mini_One R55_20170124_210156_.JPG,1373,1756,963,254
Skoda_Octavia_000000_000011_,1293,2393,560,143
Opel_Astra H FL_20170106_150617_,803,2026,867,214
VW_Kaefer_000000_000015_,100,228,98,23
opel_corsa D_20161229_130834_,516,736,437,104
VW_Kaefer_000000_000003_,496,613,287,73
suzuki_swift_20160101_000001_,1086,2160,877,236
Mazda_MX-5 ND_000000_000034_,830,820,416,93
Ford_Fiesta_20170114_143358_,1193,1733,910,233
Fiat_500_20170106_144842_,933,2196,670,187
Mazda_MX-5 ND_000000_000022_,131,187,105,24
Ford_Focus_20170106_144803_,786,2210,744,203
Mini_One R55_000000_000001_,1346,2373,540,143
VW_Polo 9N3_00000005_000004_,252,328,147,39
VW_Kaefer_000000_000006_,437,553,162,48
VW_Golf VI_20170108_164743_,1116,1690,930,240
VW_Kaefer_000000_000018_,302,398,210,56
Mini_One R55_000000_000013_,1300,2296,703,184
Ford_Fiesta FL_20170205_145704_,1116,1653,950,250
Opel_Corsa D FL_000000_000001_,1186,2413,630,167
Mazda_MX-5 ND_000000_000035_,476,523,364,80
Mazda_MX-5 ND_000000_000023_,200,214,122,31
VW_UP_20170219_165916_,1290,1543,1170,290
Mazda_MX-5 ND_000000_000011_,1050,2610,906,233
bmw_3 e46_20161212_122657_,690,1590,520,120
Opel_Corsa C_20170106_151828_,720,2173,876,230
VW_Golf VI_20170205_145457_,853,1696,1367,327
porsche_911_20161229_190010_,496,1136,490,140
VW_Golf VI_20170106_151912_,813,2156,777,200
VW_Kaefer_000000_000017_,703,1276,553,114
vw_golf IV_20161212_123031_,723,1876,570,140
VW_Kaefer_000000_000005_,486,740,310,86
BMW_1 F20_20170219_165916_,1120,1806,1020,250
